code,href,role,name,workflow_group,workflow_order
"collection","/pipeline-status?code=collection","collection","Data Collection","data",1
"load","/pipeline-status?code=load","load","Data Loading","data",2
"qa","/pipeline-status?code=qa","qa","Load QA","data",4
"check","/pipeline-status?code=check","check","Load Checking","data",3
"done","/pipeline-status?code=done","admin","Done","data",5
